City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
663,Howard Springs,AU,84.81,scattered clouds,-12.497,131.047,buffalo beach hostel
665,Aswan,EG,85.32,clear sky,24.0934,32.907,Nuba Nile
667,Allapalli,IN,80.49,few clouds,19.4167,80.0667,"Hotel IK Residency, GUEST HOUSE AC NON AC"
673,Hue,VN,75.31,mist,16.4667,107.6,Saigon Morin Hotel
674,Murud,IN,78.64,clear sky,18.3258,72.965,On Point Plaza
677,Bandrele,YT,78.55,clear sky,-12.9067,45.1914,Les Baobabs
683,Khamaria,IN,84.76,clear sky,23.2167,79.8833,Hotel Vasu
688,Bettiah,IN,78.75,light rain,26.8,84.5,Bhola Clarks Inn
698,Coahuayana,MX,84.15,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
707,Road Town,VG,78.89,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
