City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
330,Alta Floresta,BR,-9.8756,-56.0861,73.63,96,96,2.84,heavy intensity rain
331,Lata,PT,40.1629,-8.3327,58.82,97,62,0.94,broken clouds
332,Tilichiki,RU,60.4667,166.1,22.32,82,42,6.08,scattered clouds
333,Sao Sebastiao,BR,-23.76,-45.4097,69.15,73,94,1.54,overcast clouds
334,San Cristobal,VE,7.7669,-72.225,67.03,96,97,3.22,overcast clouds
335,Turtas,RU,58.9417,69.1325,22.62,96,47,3.47,scattered clouds
336,Makakilo City,US,21.3469,-158.0858,79.12,63,100,12.66,light intensity drizzle
337,Evanston,US,42.0411,-87.6901,42.8,66,75,12.66,broken clouds
338,Dzaoudzi,YT,-12.7887,45.2699,78.69,83,0,4.61,clear sky
339,Kathmandu,NP,27.7167,85.3167,59.22,58,20,3.44,few clouds
340,Les Cayes,HT,18.2,-73.75,77.49,81,95,7.25,overcast clouds
341,Puri,IN,19.8,85.85,79.32,87,98,18.41,overcast clouds
342,Itacarambi,BR,-15.1022,-44.0919,75.54,66,100,8.19,overcast clouds
343,Egvekinot,RU,66.3167,-179.1667,24.73,93,99,12.48,snow
